year,school_key,subtype,client_since_date
1993,1067,Existing Client,1/1/1993
1993,1233,Former Client FY09,1/1/1993
1993,1284,Former Client FY09,1/1/1993
1993,1011,Existing Client,11/1/1993
1994,1014,Existing Client,1/1/1994
1994,1020,Existing Client,1/1/1994
1994,1052,Former Client FY04,1/1/1994
1994,1079,Former Client FY10,1/1/1994
1994,1100,Former Client FY10,1/1/1994
1994,1278,Existing Client,1/1/1994
1994,1224,Existing Client,1/1/1994
1994,1227,Former Client FY06,1/1/1994
1994,1017,Existing Client,11/1/1994
1995,1012,Former Client FY04,1/1/1995
1995,1030,Former Client FY11,1/1/1995
1995,1039,Former Client FY04,1/1/1995
1995,1082,Existing Client,1/1/1995
1995,1255,Existing Client,1/1/1995
1995,1282,Former Client FY10,1/1/1995
1995,1294,Existing Client,1/1/1995
1995,1266,Existing Client,1/1/1995
1995,1057,Former Client FY09,11/1/1995
1996,1068,Former Client FY09,1/1/1996
1996,1055,Existing Client,1/1/1996
1996,1001,Existing Client,1/1/1996
1996,1222,Existing Client,1/1/1996
1996,1297,Existing Client,1/1/1996
1996,1221,Former Client FY13,11/1/1996
1997,1240,Former Client FY04,1/1/1997
1997,1268,Existing Client,1/1/1997
1997,1305,Former Client FY09,1/1/1997
1997,1059,Former Client FY05,1/1/1997
1997,1077,Existing Client,1/1/1997
1997,1300,Former Client FY06,8/1/1997
1997,1288,Existing Client,11/1/1997
1997,1231,Existing Client,11/1/1997
1997,1063,Former Client FY11,11/1/1997
1998,1087,Existing Client,1/1/1998
1998,1096,Existing Client,1/1/1998
1998,1019,Existing Client,1/1/1998
1998,1225,Former Client FY13,1/1/1998
1998,1241,Existing Client,1/1/1998
1998,1312,Former Client FY06,5/1/1998
1998,1301,Existing Client,8/1/1998
1998,1088,Former Client FY05,8/1/1998
1998,1076,Former Client FY07,10/1/1998
1998,1290,Former Client FY06,11/1/1998
1998,1291,Former Client FY13,11/1/1998
1998,1276,Former Client FY08,11/1/1998
1998,1264,Existing Client,11/1/1998
1999,1269,Former Client FY09,1/1/1999
1999,1275,Existing Client,1/1/1999
1999,1242,Existing Client,1/1/1999
1999,1256,Existing Client,1/1/1999
1999,1043,Existing Client,1/1/1999
1999,1021,Former Client FY12,1/1/1999
1999,1022,Existing Client,1/1/1999
1999,1267,Former Client FY10,8/1/1999
1999,1283,Former Client FY03,10/18/1999
1999,1248,Former Client FY12,11/1/1999
1999,1008,Former Client FY01,11/1/1999
